Year;Latitude;Longitude;Depth;Mw
2020;39.6762;27.8122;5.5;3.7
2020;35.5632;31.606;5;3.6
2020;39.0075;35.8543;5;3.4
2020;38.1787;38.6887;8.2;4.1
2020;39.0807;27.6843;7.5;3.5
2020;39.1407;28.9988;8.3;3.4
2020;36.689;28.2367;71.9;4
2020;39.3123;40.3288;5;3.5
2020;39.1153;37.8243;5;3.8
2020;35.731;35.5115;4.9;3.6
2020;39.8427;44.1557;5;4.4
2020;35.385;26.6373;2.8;3.6
2020;37.4255;35.8727;7.6;3.6
2020;38.2305;38.7802;5;3.8
2020;38.0827;42.6287;5;3.5
2020;38.0818;42.5935;4.5;4.8
2020;38.2168;38.7588;5;4.8
2020;38.1888;38.7527;5;4.5
2020;38.2253;38.7723;5.9;4
2020;38.1945;38.727;5.5;5.7
2020;36.6192;43.7168;5;3.4
2020;40.3135;41.6203;5;3.7
2020;38.6933;38.1057;5;4
2020;35.0137;27.1237;5;4
2020;38.3295;44.4375;5;3.5
2020;35.587;31.6497;87;3.6
2020;39.3432;40.3257;5;4
2020;39.887;30.4707;1.8;4.1
2020;39.7715;42.5122;5;3.6
2020;38.5718;27.5388;11.7;3.5
2020;38.2657;38.7998;5.1;3.5
2020;38.2433;38.7417;5;3.9
2020;37.3857;36.3582;9;4
2020;35.4837;26.7325;3.8;3.5
2020;35.5388;26.7067;6.6;3.5
2020;35.4902;40.5563;5;4.6
2020;38.4037;26.685;18.4;4.4
2020;35.5513;26.7388;7.6;3.5
2020;40.7088;32.9137;5.2;3.5
2020;35.2483;27.7815;16.4;3.8
2020;38.2162;38.72;4.9;3.5
2020;35.704;40.7047;6.4;3.8
2020;35.9157;40.5317;6.2;3.9
2020;38.6665;44.726;4.3;3.8
2020;35.64;31.3778;8.1;4
2020;35.954;30.2148;7.5;3.6
2020;38.6725;33.574;4.8;3.4
2020;39.4408;27.9248;7.3;3.6
2020;41.8383;43.9163;27.7;4.4
2020;35.7017;27.4848;9.6;3.4
2020;35.9088;31.3407;11.1;3.5
2020;35.5137;26.741;6.2;3.5
2020;35.526;26.7578;4.5;3.6
2020;35.5438;26.7325;2.9;4.1
2020;35.2832;26.911;14.4;3.5
2020;35.5672;26.7217;2.2;3.5
2020;35.546;26.7532;4.3;4.1
2020;38.1712;38.554;5;4
2020;38.1748;38.5297;5;4
2020;35.559;40.9008;12.6;3.9
2020;35.5148;40.5947;1.6;4.5
2020;39.3523;40.7057;5;3.5
2020;38.5198;27.521;9.5;3.6
2020;35.5715;26.6795;5;3.4
2020;38.5227;27.5403;13.3;3.8
2020;35.5115;26.7177;4.9;3.9
2020;35.5377;26.7125;3.5;3.5
2020;35.5608;26.6618;2.8;4.2
2020;35.5553;26.6905;3.6;4
2020;35.5135;26.705;7.3;4
2020;35.5233;26.6997;3.8;3.5
2020;36.7138;28.225;73.2;4.7
2020;36.7083;28.2475;78.2;5.2
2020;35.4537;26.7422;14.1;3.5
2020;35.5622;26.666;5.4;4.4
2020;35.5088;26.6997;5.7;3.9
2020;35.5488;26.6657;6.5;3.8
2020;35.5233;26.7058;3.9;3.7
2020;35.5237;26.6855;6.7;4
2020;35.5367;26.6628;8.5;3.5
2020;35.5623;26.675;5.4;3.5
2020;35.5488;26.6723;6.8;4.7
2020;35.4732;26.7103;12.1;3.8
2020;38.8133;27.7277;7.5;3.7
2020;35.4533;26.7718;16.7;4.2
2020;38.7767;27.7767;7.1;3.5
2020;38.7885;27.7937;10.9;5.2
2020;38.4658;44.1668;5.3;5.4
2020;36.128;27.1757;8.3;3.8
2020;38.3877;44.0813;5;3.7
2020;40.7237;32.9412;7.2;4.2
2020;39.8928;43.2577;5;3.5
2020;40.0373;43.0172;5;4
2020;38.2695;38.7572;1.7;3.7
2020;37.4813;38.6735;6.4;4.2
2020;37.8022;29.9992;5.3;4
2020;39.3658;40.6797;5;4.4
2020;39.3623;40.6878;5;3.9
2020;39.3565;40.7635;5;4
2020;39.342;40.7037;5;4.1
2020;39.3552;40.7597;1.8;5.5
2020;39.3495;40.7193;1.1;3.7
2020;39.3497;40.6687;5;3.8
2020;39.3618;40.7075;5;3.9
2020;39.3438;40.7178;5;3.7
2020;39.3353;40.7298;5;3.5
2020;39.3402;40.7582;5;4.7
2020;39.3452;40.7517;5;4.5
2020;39.3353;40.7577;5;5.9
2020;39.3357;27.8557;6.2;3.7
2020;35.4392;26.8415;15.7;3.5
2020;38.2662;27.228;7.6;3.6
2020;35.5577;26.7417;9.9;3.5
2020;39.3397;37.9487;5;3.7
2020;38.2457;38.74;5.4;5.3
2020;35.6137;26.7265;4.2;4.3
2020;36.8458;36.2392;5;3.8
2020;36.9525;27.3822;11.6;3.6
2020;40.5353;34.8967;8.3;3.9
2020;35.151;29.1188;21.1;4.1
2020;35.5175;26.737;5.8;4
2020;37.311;36.0173;9.7;4
2020;36.6937;26.6853;145.4;3.5
2020;38.7912;43.5413;1.1;3.5
2020;35.594;26.7293;4.6;4
2020;35.5507;26.746;8.7;3.9
2020;35.5692;26.7555;7.2;4
2020;35.5472;26.7527;12.6;4.5
2020;35.5998;26.7155;1;4.3
2020;35.5358;26.757;8.4;3.8
2020;35.5633;26.7358;7.6;4
2020;35.6013;26.7012;5.5;4.2
2020;35.5488;26.7618;11;3.7
2020;35.4828;26.7792;5;3.7
2020;35.5917;26.7198;5;3.9
2020;39.0987;27.7783;7.9;4.1
2020;35.754;26.4663;10.4;3.6
2020;35.5617;26.7527;4.1;4.1
2020;35.2882;26.9578;20.7;3.9
2020;35.4788;26.7768;15.7;3.5
2020;35.5553;26.7477;7.1;3.8
2020;35.5618;26.7365;7;3.5
2020;35.5582;26.7257;7;3.5
2020;35.5787;26.7742;5;3.5
2020;35.3968;26.116;7.5;3.5
2020;35.5735;26.7153;1.9;4
2020;38.4033;39.092;9.7;3.7
2020;39.4045;40.0108;5;4.1
2020;35.2665;36.5493;4.8;3.8
2020;36.6458;30.5748;92.4;3.2
2020;35.3083;27.8817;10.7;4.4
2020;38.9608;26.3963;11.6;3.4
2020;35.5165;27.7833;16;4.1
2020;37.0183;28.1552;6.6;3.7
2020;37.8248;27.191;1;3.6
2020;36.4992;26.8452;136.7;3.6
2020;39.3258;38.4148;5.1;4
2020;39.4467;27.8775;8.6;3.6
2020;35.6275;29.4227;5;3.8
2020;38.3967;39.0355;8;4
2020;39.003;27.87;14.5;3.5
2020;38.3658;44.5593;3.5;4.1
2020;38.364;44.4862;5;3.8
2020;37.0037;28.5315;8.4;4.5
2020;38.4357;39.2038;3.8;4.3
2020;38.3463;44.2897;8.8;3.8
